date,open,high,low,close,volume,cnt_ai,cnt_war,avg_tone,return,log_return
2020-12-10,25.541,28.04,25.15,27.04,57774800,8.0,431211.0,-1.2318505825812271,0.015396169733383314,0.015278851348922373
2020-12-11,27.15,28.27,26.06,27.2,52764400,15.0,403180.0,-1.1958576762309194,0.00591715976331364,0.005899722127188145
2020-12-14,28.26,28.26,26.73,27.24,44734500,11.0,358691.0,-1.2297698988726853,0.0014705882352941124,0.001469507979360074
2020-12-15,26.82,27.1,25.52,26.43,49273200,58.0,405621.0,-1.211149647528898,-0.029735682819383213,-0.030186752665113836
2020-12-16,25.71,26.16,25.11,25.92,44013400,12.0,369971.0,-1.234075793736418,-0.01929625425652659,-0.01948485713212378
2020-12-17,26.52,27.45,26.05,27.23,53829800,16.0,374154.0,-1.186047795845896,0.050540123456790154,0.049304435201594554
2020-12-18,26.27,26.85,25.8,25.97,71042900,7.0,404746.0,-1.1640645583648828,-0.046272493573264795,-0.04737728101101135
2020-12-21,26.19,28.7,25.4,28.51,76729100,12.0,332029.0,-1.2920818191961236,0.09780515979976911,0.09331287724992343
2020-12-22,29.03,29.42,26.82,28.04,66033100,12.0,335755.0,-1.2638078147238263,-0.016485443703963654,-0.016622840758190982
2020-12-23,28.95,29.39,28.05,28.69,58772200,5.0,375719.0,-1.3275875421186007,0.023181169757489295,0.022916567826884116
2020-12-24,28.798,29.16,27.52,27.75,26306800,5.0,387334.0,-1.1302732886322508,-0.03276402927849431,-0.03331278980083008
2020-12-28,28.39,28.59,25.4,25.63,55878700,13.0,318500.0,-1.4700488102120868,-0.0763963963963964,-0.07947229981646364
2020-12-29,25.75,26.182,24.34,24.66,47302400,13.0,493563.0,-1.3370087101889818,-0.03784627389777595,-0.03858104263978168
2020-12-30,24.97,25.91,24.63,25.1,34586700,3.0,347878.0,-1.3172619264621677,0.017842660178426728,0.017685348401540235
2020-12-31,24.63,24.72,23.52,23.55,39922500,9.0,298756.0,-1.2198058507061185,-0.06175298804780882,-0.06374202567531162
2021-01-04,23.91,24.5,22.5,23.37,44970400,12.0,302198.0,-1.5268357092669227,-0.007643312101910826,-0.007672671911660434
2021-01-05,23.18,24.67,22.89,24.6,29050400,20.0,317659.0,-1.4288630015509731,0.05263157894736836,0.05129329438755059
2021-01-06,24.12,24.46,23.25,23.54,32732900,28.0,364666.0,-1.5280330041092245,-0.043089430894309055,-0.04404534110618652
2021-01-07,24.02,25.19,23.67,25.0,32240000,22.0,533987.0,-2.22587271327616,0.062022090059473234,0.06017472303607008
2021-01-08,25.7,26.44,24.7,25.2,41313800,24.0,410525.0,-1.9498518108528928,0.008000000000000007,0.007968169649176904
2021-01-11,24.61,26.6,24.31,25.93,32609000,2.0,373789.0,-1.7549451893438608,0.028968253968254087,0.02855660503319557
